CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_gb9259_output_09_gm,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902053,TOMBALL PKWY MIDDLE,REGULAR INSTRUCTIONAL,,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032,(281) 985-6216,(281) 985-7139,cmoore@aldine.k12.tx.us,,    ,'07-08,0,Under Construction,2008-02-13,2015-03-14T05:35:12,1,USCGeocoder,1,16,2b8cfb53-47bc-45fb-98ba-8bdfb27e590d,4.01,,29.9340613354,-95.3536779724,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,86242.514328,Meters,2,Parcel
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902061,ECKERT INT,REGULAR INSTRUCTIONAL,,1430 ALDINE MEADOWS RD,HOUSTON,TX,77032-2916,1430 ALDINE MEADOWS RD,HOUSTON,TX,77032-2916,(281) 985-6380,(281) 985-6117,tarmelin@aldine.k12.tx.us,www.aldine.k12.tx.us,KATHERINE ROEDE   ,'05-06,832,Active,1992-07-29,2015-03-14T05:35:12,2,USCGeocoder,1,47,bae941ca-4af3-4c23-b879-1c66dfeec6c2,4.01,,29.9338579049,-95.3633316463,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,98.4023668639,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,56641.7394435,Meters,2,Parcel
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902062,HOUSTON ACADEMY,REGULAR INSTRUCTIONAL,,8103 CARVER RD,HOUSTON,TX,77088,8103 CARVER RD,HOUSTON,TX,77088,(281) 878-7745,(281) 878-7755,rallen@aldine.k12.tx.us,www.aldine.k12.tx.us,RUBY ALLEN   ,'05-06,654,Active,2002-10-10,2015-03-14T05:35:12,3,USCGeocoder,1,16,b5857eed-5749-428e-95df-da0207a07f1d,4.01,,29.8743924681,-95.4465130876,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,4209.59845426,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902063,ESCAMILLA INT,REGULAR INSTRUCTIONAL,,5241 E MT HOUSTON RD,HOUSTON,TX,77093-1732,5241 E MT HOUSTON RD,HOUSTON,TX,77093-1732,(281) 985-6390,(281) 985-6137,hortiz@aldine.k12.tx.us,www.aldine.k12.tx.us,HERMILO ORTIZ   ,'05-06,975,Active,1992-07-29,2015-03-14T05:35:12,4,USCGeocoder,1,328,c5008bda-eb75-4673-92ed-8e9d34ed1f48,4.01,,29.8081100449,-95.2697149382,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,89.0532544379,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,1425.37331944,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902064,STEHLIK INT,REGULAR INSTRUCTIONAL,,400 W RD,HOUSTON,TX,77038-2606,400 W RD,HOUSTON,TX,77038-2606,(281) 878-0300,(281) 878-0305,jray@aldine.k12.tx.us,www.aldine.k12.tx.us,CHRISTI VAN WASSENHOV   ,'05-06,1021,Active,1992-07-29,2015-03-14T05:35:12,5,USCGeocoder,1,31,9a979367-c3fe-42aa-80b0-2f151b67ef68,4.01,,29.916415,-95.422516,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,Manual,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902065,PARKER INT,REGULAR INSTRUCTIONAL,,19850 E HARDY RD,HOUSTON,TX,77073-3355,19850 E HARDY RD,HOUSTON,TX,77073-3355,(281) 233-8930,(281) 233-8935,chardin@aldine.k12.tx.us,www.aldine.k12.tx.us,CANDACE HARDIN   ,'05-06,998,Active,1994-07-01,2015-03-14T05:35:12,6,USCGeocoder,1,0,b0b14e9d-ce86-4ed7-8d65-e7f5c0c361f0,4.01,,30.0237926448,-95.4027847866,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,2911.87779447,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902066,CARAWAY INT,REGULAR INSTRUCTIONAL,,3031 ELLINGTON,HOUSTON,TX,77088-4558,3031 ELLINGTON,HOUSTON,TX,77088-4558,(281) 878-0320,(281) 878-0326,ajames1@aldine.k12.tx.us,www.aldine.k12.tx.us,TODD M ROEDE   ,'05-06,769,Active,1990-07-01,2015-03-14T05:35:12,7,USCGeocoder,1,63,12251fa1-b5f9-4add-a79f-31aae63b3505,4.01,,29.8811024351,-95.4576489097,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,97.0414201183,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,1954.70435618,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902067,WILSON INT,REGULAR INSTRUCTIONAL,,3131 FALLBROOK DR,HOUSTON,TX,77038-1905,3131 FALLBROOK DR,HOUSTON,TX,77038-1905,(281) 878-0990,(281) 878-0995,troede@aldine.k12.tx.us,www.aldine.k12.tx.us,DANA BAKER   ,'05-06,1044,Active,1990-07-01,2015-03-14T05:35:12,8,USCGeocoder,1,31,b1ce5965-faaf-4efd-84e6-ffd16103287c,4.01,,29.9192907795,-95.4692899393,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,2083.30685138,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902068,REED ACADEMY,REGULAR INSTRUCTIONAL,,1616 LAUDER RD,HOUSTON,TX,77039-3095,1616 LAUDER RD,HOUSTON,TX,77039-3095,(281) 985-6670,(281) 985-6679,grigsby@aldine.k12.tx.us,www.aldine.K12.tx.us,GINA RIGSBY   ,'05-06,968,Active,1993-07-01,2015-03-14T05:35:12,9,USCGeocoder,1,31,f7e2c934-5f10-4655-94e5-2ba7fa2835f4,4.01,,29.9130691233,-95.3633257142,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,99.899408284,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,3394.40012577,Meters,3,StreetSegmentInterpolation
'101,HARRIS COUNTY,'04,'101902,ALDINE ISD,INDEPENDENT,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,14910 ALDINE WESTFIELD RD,HOUSTON,TX,77032-3099,(281) 449-1011,(281) 449-4911,wbamberg@aldine.k12.tx.us,www.aldine.k12.tx.us/,DR WANDA BAMBERG   ,69716,'101902069,HILL INT,REGULAR INSTRUCTIONAL,,2625 W MOUNT HOUSTON,HOUSTON,TX,77038,2625 W MOUNT HOUSTON,HOUSTON,TX,77038,(281) 878-7775,(281) 878-7779,scorrick@aldine.k12.tx.us,www.aldine.k12.tx.us,SCOTT CORRICK   ,'05-06,858,Active,2001-03-22,2015-03-14T05:35:12,10,USCGeocoder,1,16,0f691c09-c092-45c5-bc0e-3f28d93e8051,4.01,,29.893138085,-95.4518940495,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,Parcel,93.4911242604,ExactParcelCentroidPoint,FeatureClassBased,,,0,,ReturnAll,91876.5990613,Meters,2,Parcel
