CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_baucumjoseph_output_02_jb,Source,UpdatedGeocoding,TimeTaken,TransactionId,Version,ErrorMessage,Latitude,Longitude,MatchType,MatchedLocationType,FeatureMatchingResultType,InterpolationType,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,GeocodeQualityType,FeatureMatchingHierarchy,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,RegionSize,RegionSizeUnits,naaccrQualCode,naaccrQualType
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907131,ROBERT B GREEN EL,REGULAR INSTRUCTIONAL,,122 W WHITTIER ST,SAN ANTONIO,TX,78210-2895,122 W WHITTIER ST,SAN ANTONIO,TX,78210-2895,(210) 534-6851,(210) 534-6865,greenel@saisd.net,,MS ELIDA NAVARRO   ,'EE-05,194,Active, ,2015-03-14T05:34:59,1,USCGeocoder,1,16,5b38c502-6bf3-4d12-a941-25f06ceebee2,4.01,,29.3996131391,-98.4828720194,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,3862.83703558,Meters,3,StreetSegmentInterpolation
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907132,HERFF EL,REGULAR INSTRUCTIONAL,,996 S HACKBERRY,SAN ANTONIO,TX,78210,996 S HACKBERRY,SAN ANTONIO,TX,78210,(210) 533-7500,(210) 533-9500,herffel@saisd.net,,DR TRACI SMITH   ,'EE-05,519,Active, ,2015-03-14T05:34:59,2,USCGeocoder,1,16,5511554a-5320-4036-a63d-6d38c17a5c64,4.01,,29.4093630382,-98.473160567,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,774.881999477,Meters,3,StreetSegmentInterpolation
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907134,HIGHLAND HILLS EL,REGULAR INSTRUCTIONAL,,734 GLAMIS AVE,SAN ANTONIO,TX,78223-1534,734 GLAMIS AVE,SAN ANTONIO,TX,78223-1534,(210) 534-6461,(210) 534-6484,highlandhillsel@saisd.net,,DR JOANELDA G DELEON   ,'EE-05,674,Active, ,2015-03-14T05:34:59,3,USCGeocoder,1,16,b43f093e-971e-4db4-9fea-c654ad147113,4.01,,29.3794416166,-98.4420147623,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,3688.37853715,Meters,3,StreetSegmentInterpolation
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907135,HIGHLAND PARK EL,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,635 RIGSBY AVE,SAN ANTONIO,TX,78210-3099,635 RIGSBY AVE,SAN ANTONIO,TX,78210-3099,(210) 533-8051,(210) 533-8132,highlandparkel@saisd.net,,MR JOSEPH CERNA   ,'EE-05,697,Active, ,2015-03-14T05:34:59,4,USCGeocoder,1,16,a90faa9d-af7e-4e10-aa12-c5db52fe3009,4.01,,29.39854843,-98.4625973663,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,4365.20389696,Meters,3,StreetSegmentInterpolation
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907136,HILLCREST EL,REGULAR INSTRUCTIONAL,,211 W MALONE AVE,SAN ANTONIO,TX,78214-1024,211 W MALONE AVE,SAN ANTONIO,TX,78214-1024,(210) 534-3903,(210) 534-0691,hillcrestel@saisd.net,,MS THERESA FLORES-LOPEZ   ,'EE-05,587,Active, ,2015-03-14T05:34:59,5,USCGeocoder,1,16,7bf2945a-cc2b-4959-9eb6-ec2ac2cbeb5a,4.01,,29.3870075808,-98.5048867925,Relaxed,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,97.0414201183,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,2461.07482737,Meters,3,StreetSegmentInterpolation
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907137,HIRSCH EL,REGULAR INSTRUCTIONAL,,4826 SEABREEZE DR,SAN ANTONIO,TX,78220-4809,4826 SEABREEZE DR,SAN ANTONIO,TX,78220-4809,(210) 648-1821,(210) 648-1925,hirschel@saisd.net,,MARY RODRIGUEZ   ,'EE-05,537,Active, ,2015-03-14T05:34:59,6,USCGeocoder,1,31,bea41642-639c-4575-8661-39369a77e18d,4.01,,29.4018430621,-98.3998156031,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,5322.86594402,Meters,3,StreetSegmentInterpolation
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907139,HUPPERTZ EL,REGULAR INSTRUCTIONAL,,247 BANGOR DR,SAN ANTONIO,TX,78228-4799,247 BANGOR DR,SAN ANTONIO,TX,78228-4799,(210) 433-3141,(210) 433-4984,huppertzel@saisd.net,,LORRAINE MARTINEZ   ,'EE-05,376,Active, ,2015-03-14T05:34:59,7,USCGeocoder,1,16,780b358d-0510-465a-a26a-c96f1308276a,4.01,,29.4546308174,-98.574147125,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,7824.9346222,Meters,3,StreetSegmentInterpolation
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907140,RODRIGUEZ EL,REGULAR INSTRUCTIONAL,,3626 W CESAR E CHAVEZ BLVD,SAN ANTONIO,TX,78207-7094,3626 W CESAR E CHAVEZ BLVD,SAN ANTONIO,TX,78207-7094,(210) 433-4251,(210) 433-6846,rodriguezel@saisd.net,,MS CYNTHIA ROCHA   ,'EE-05,465,Active, ,2015-03-14T05:34:59,8,USCGeocoder,1,47,3055c509-adc9-4e98-962a-1a2c501a880f,4.01,,29.42482,-98.540069,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,ArealInterpolation,ArealInterpolationGeometricCentroid,USPSZip,100,Manual,FeatureClassBased,,,0,,ReturnAll,0,Meters,9,AddressZIPCentroid
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907141,ELOISE JAPHET EL,REGULAR INSTRUCTIONAL,,314 ASTOR ST,SAN ANTONIO,TX,78210-5198,314 ASTOR ST,SAN ANTONIO,TX,78210-5198,(210) 534-5321,(210) 534-1665,japhetel@saisd.net,,NATASHA GOULD   ,'EE-05,508,Active, ,2015-03-14T05:34:59,9,USCGeocoder,1,78,4f5beea8-8862-446b-a6a3-f91780481db3,4.01,,29.3874481493,-98.4693944962,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,3791.08345145,Meters,3,StreetSegmentInterpolation
'015,BEXAR COUNTY,'20,'015907,SAN ANTONIO ISD,INDEPENDENT,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,141 LAVACA ST,SAN ANTONIO,TX,78210-1039,(210) 554-2200,(210) 299-5580,superintendent@saisd.net,www.saisd.net/,DR SYLVESTER PEREZ   ,53750,'015907142,M L KING ACADEMY,REGULAR INSTRUCTIONAL,CAMPUS CHARTER,3501 MARTIN LUTHER KING DR,SAN ANTONIO,TX,78220-2399,3501 MARTIN LUTHER KING DR,SAN ANTONIO,TX,78220-2399,(210) 978-7935,(210) 223-6907,kingel@saisd.net,,NATASHA PINNIX   ,'EE-08,474,Active,2004-06-14,2015-03-14T05:34:59,10,USCGeocoder,1,0,76d990f0-d26d-4709-8abc-5e28e498cfaf,4.01,,29.4135482158,-98.4218726445,Exact,LOCATION_TYPE_STREET_ADDRESS,Success,LinearInterpolation,LinearInterpolationAddressRange,StreetSegment,100,AddressRangeInterpolation,FeatureClassBased,,,0,,ReturnAll,3608.36552486,Meters,3,StreetSegmentInterpolation
