CountyNumber,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,CountyName,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_tfry01_output_06_tf,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,FeatureMatchingResultTypeTieBreakingNotes,TieHandlingStrategyType,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
061,DENTON COUNTY,11,061905,KRUM ISD,INDEPENDENT,1200 BOBCAT BLVD,KRUM,TX,76249-6908,1200 BOBCAT BLVD,KRUM,TX,76249-6908,(940) 482-6000 ext:1002,(940) 482-3929,rhonda.harrison@krumisd.net,www.krumisd.net,CODY CARROLL,2064,061905001,KRUM H S,REGULAR INSTRUCTIONAL,,1200 BOBCAT BLVD,KRUM,TX,76249-6908,700-A BOBCAT BLVD,KRUM,TX,76249-9649,(940) 482-6000 ext:2001,(940) 482-2997,jeremy.harpole@krumisd.net,,MR JEREMY HARPOLE,09-12,596,Active,,2015-03-14T05:35:00,214,USCGeocoder,31,1,4.01,,29c68bfa-979f-418a-9f98-2fd70d43ab69,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.264492,-97.226132,Exact
061,DENTON COUNTY,11,061905,KRUM ISD,INDEPENDENT,1200 BOBCAT BLVD,KRUM,TX,76249-6908,1200 BOBCAT BLVD,KRUM,TX,76249-6908,(940) 482-6000 ext:1002,(940) 482-3929,rhonda.harrison@krumisd.net,www.krumisd.net,CODY CARROLL,2064,061905041,KRUM MIDDLE,REGULAR INSTRUCTIONAL,,1200 BOBCAT BLVD,KRUM,TX,76249-6908,805 E MCCART,KRUM,TX,76249-9649,(940) 482-6000 ext:3001,(940) 482-6299,MICHELLE.PIENIAZEK@KRUMISD.NET,,MRS MICHELLE PIENIAZEK,06-08,486,Active,1981-10-01,2015-03-14T05:35:00,216,USCGeocoder,31,1,4.01,,f6ce0244-2c28-4ae6-97af-944e0d4fcf40,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.259952,-97.2292,Exact
061,DENTON COUNTY,11,061905,KRUM ISD,INDEPENDENT,1200 BOBCAT BLVD,KRUM,TX,76249-6908,1200 BOBCAT BLVD,KRUM,TX,76249-6908,(940) 482-6000 ext:1002,(940) 482-3929,rhonda.harrison@krumisd.net,www.krumisd.net,CODY CARROLL,2064,061905102,BLANCHE DODD INT,REGULAR INSTRUCTIONAL,,1200 BOBCAT BLVD,KRUM,TX,76249-6908,915 E MCCART,KRUM,TX,76249-9650,(940) 482-6000 ext:4001,(940) 482-3368,lila.wright@krumisd.net,,MS LILA WRIGHT,04-05,309,Active,1989-09-15,2015-03-14T05:35:00,218,USCGeocoder,47,1,4.01,,ea253c7c-bb0d-4612-8e45-ba2cab8bc272,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.26067,-97.226239,Exact
061,DENTON COUNTY,11,061905,KRUM ISD,INDEPENDENT,1200 BOBCAT BLVD,KRUM,TX,76249-6908,1200 BOBCAT BLVD,KRUM,TX,76249-6908,(940) 482-6000 ext:1002,(940) 482-3929,rhonda.harrison@krumisd.net,www.krumisd.net,CODY CARROLL,2064,061905103,KRUM EARLY EDUCATION CENTER,REGULAR INSTRUCTIONAL,,1200 BOBCAT BLVD,KRUM,TX,76249-6908,1513 SEQUOIA,KRUM,TX,76249,(940) 482-6000 ext:4201,(940) 482-6232,tammy.morris@krumisd.net,,MS TAMMY MORRIS,EE-01,375,Active,2008-08-26,2015-03-14T05:35:00,219,USCGeocoder,63,1,4.01,,e42ea9f8-b9b9-42bf-94fa-0496124c149f,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.259073,-97.214995,Exact
061,DENTON COUNTY,11,061906,PONDER ISD,INDEPENDENT,400 W BAILEY ST,PONDER,TX,76259,400 W BAILEY,PONDER,TX,76259-0278,(940) 479-8200,(940) 479-8209,byeager@ponderisd.net,www.ponderisd.net,MR J BRUCE YEAGER,1300,061906041,PONDER J H,REGULAR INSTRUCTIONAL,,400 W BAILEY,PONDER,TX,76259,501 SHAFFNER ST,PONDER,TX,76259,(940) 479-8220,(940) 479-8229,theers@ponderisd.net,,TED HEERS,06-08,291,Active,2005-04-29,2015-03-14T05:35:00,222,USCGeocoder,78,1,4.01,,49ad7211-2df1-4bed-9b6f-175175620851,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.185386,-97.288552,Exact
061,DENTON COUNTY,11,061906,PONDER ISD,INDEPENDENT,400 W BAILEY ST,PONDER,TX,76259,400 W BAILEY,PONDER,TX,76259-0278,(940) 479-8200,(940) 479-8209,byeager@ponderisd.net,www.ponderisd.net,MR J BRUCE YEAGER,1300,061906101,PONDER EL,REGULAR INSTRUCTIONAL,,400 W BAILEY ST,PONDER,TX,76259-0278,401 W BAILEY,PONDER,TX,76259,(940) 479-8320,(940) 479-8239,jwilbanks@ponderisd.net,www.ponderisd.net,MRS JANELL WILBANKS,EE-05,610,Active,,2015-03-14T05:35:00,223,USCGeocoder,63,1,4.01,,4512568d-9d42-4614-816a-0aefda0eb36a,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.184165,-97.294904,Exact
061,DENTON COUNTY,11,061907,AUBREY ISD,INDEPENDENT,415 TISDELL LN,AUBREY,TX,76227-9619,415 TISDELL LN,AUBREY,TX,76227-9619,(940) 668-0060,(940) 365-2627,dsanders@aubreyisd.net,www.aubreyisd.net,MS DEBORAH SANDERS,2213,061907102,JAMES A MONACO,REGULAR INSTRUCTIONAL,,9350 CAPE COD BLVD,AUBREY,TX,76227,9350 CAPE COD BLVD,AUBREY,TX,76227,(940) 668-0000,(940) 668-0001,jmonaco@aubreyisd.net,www.aubreyisd.net,MRS JANA LOWMAN,EE-05,642,Active,2008-08-25,2015-03-14T05:35:00,228,USCGeocoder,63,1,4.01,,a2fc7560-c413-4c7c-b8e5-91889f8c17e7,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.23928,-96.966837,Exact
061,DENTON COUNTY,11,061908,SANGER ISD,INDEPENDENT,601 ELM ST,SANGER,TX,76266-9635,601 ELM ST,SANGER,TX,76266-9635,(940) 458-7438,(940) 458-5140,kcrutsinger@sangerisd.net,www.sisd.sangerisd.net,MR KENT CRUTSINGER,2645,061908001,SANGER H S,REGULAR INSTRUCTIONAL,,601 ELM ST,SANGER,TX,76266-9635,100 INDIAN LN,SANGER,TX,76266-9635,(940) 458-7497,(940) 458-4637,ssaylor@sangerisd.net,sisd.sangerisd.net,VACANT VACANT,09-12,796,Active,,2015-03-14T05:35:00,229,USCGeocoder,47,1,4.01,,a128b6b8-041c-4c6d-81e9-f69484972c4c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.374692,-97.160393,Exact
061,DENTON COUNTY,11,061908,SANGER ISD,INDEPENDENT,601 ELM ST,SANGER,TX,76266-9635,601 ELM ST,SANGER,TX,76266-9635,(940) 458-7438,(940) 458-5140,kcrutsinger@sangerisd.net,www.sisd.sangerisd.net,MR KENT CRUTSINGER,2645,061908101,CLEAR CREEK INT,REGULAR INSTRUCTIONAL,,601 ELM ST,SANGER,TX,76266-9635,1901 S STEMMONS,SANGER,TX,76266-9635,(940) 458-7476,(940) 458-2539,awilliams@sangerisd.net,sisd.sangerisd.net,MS STEPHANIE LANCE,03-05,359,Active,,2015-03-14T05:35:00,233,USCGeocoder,47,1,4.01,,8ddb5e17-9ef2-477a-a03a-cad31fdb6912,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.347935,-97.184182,Exact
061,DENTON COUNTY,11,061908,SANGER ISD,INDEPENDENT,601 ELM ST,SANGER,TX,76266-9635,601 ELM ST,SANGER,TX,76266-9635,(940) 458-7438,(940) 458-5140,kcrutsinger@sangerisd.net,www.sisd.sangerisd.net,MR KENT CRUTSINGER,2645,061908102,CHISHOLM TRAIL EL,REGULAR INSTRUCTIONAL,,601 ELM ST,SANGER,TX,76266-9635,812 N KEATON,SANGER,TX,76266-9635,(940) 458-5297,(940) 458-2537,aford@sangerisd.net,sisd.sangerisd.net,MS ALICE FORD,KG-02,366,Active,1987-06-23,2015-03-14T05:35:00,234,USCGeocoder,109,1,4.01,,ce3f49d7-bf2a-4f7c-8193-27e776fea25b,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,,ReturnAll,manual,,,0,33.367273,-97.187036,Exact
