CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_Manzhi_output_17_mw,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958.0,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905007,WATER VALLEY / VERIBEST SPECIAL PROGRAMS,REGULAR INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958.0,(325) 484-2478 ext:199 ,(325) 484-2473,shelly.bell@wvisd.net,www.wvisd.net,JIMMY HANNON   SHELLY BELL   ,'EE-12,0,Active,37656.0,2015-03-14T05:35:00,1,USCGeocoder,31,1,4.01,,8c6e30b9-deca-4d37-ab6c-6e06e2bf6baa,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3089.69818436,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.6694129064,-100.720881786,Relaxed
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958.0,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905008,FAIRVIEW DAEP,DAEP INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904.0,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904.0,(325) 484-2478 ext:299 ,(325) 484-3359,jimmy.hannon@wvisd.net,,JIMMY HANNON   ,'07-12,0,Active,40414.0,2015-03-14T05:35:00,2,USCGeocoder,16,1,4.01,,41ecd545-29a2-45a1-9098-fab7af7d5578,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11175.2363934,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.3911550378,-100.400369551,Exact
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958.0,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905101,WATER VALLEY EL,REGULAR INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,15575 ADAMS AVE,WATER VALLEY,TX,76958-9998,(325) 484-2478 ext:199 ,(325) 484-2473,shelly.bell@wvisd.net,www.wvisd.net,SHELLY BELL   ,'PK-06,170,Active, ,2015-03-14T05:35:00,3,USCGeocoder,47,1,4.01,,49dc5866-f43c-4a56-884e-9234eb5add0e,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.667709,-100.717972,Exact
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958.0,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905180,WALL SPECIAL PROGRAMS,ALTERNATIVE INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,15575 ADAMS AVE,WATER VALLEY,TX,76958-9998,(325) 653-1852,(325) 484-3359,jimmy.hannon@wvisd.net,,SHELLY BELL   ,'EE-12,-1,Active,33785.0,2015-03-14T05:35:00,4,USCGeocoder,47,1,4.01,,4b77f91b-41a6-4360-bc95-6f94a2576f4a,10,POBoxZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.669262,-100.7208619,Exact
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958.0,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905195,FAIRVIEW SPECIAL PROGRAMS,ALTERNATIVE INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,17886 WILDCAT DR,WATER VALLEY,TX,76958-9998,(325) 484-2478 ext:299 ,(325) 484-2462,jimmy.hannon@wvisd.net,,JIMMY HANNON   ,'05-12,-1,Active,31958.0,2015-03-14T05:35:00,5,USCGeocoder,0,1,4.01,,50b7d5a4-2fac-4bc4-9f32-c68daadb3f1a,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2204.46280805,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.6623049423,-100.711644151,Relaxed
'226,TOM GREEN COUNTY,'15,'226905,WATER VALLEY ISD,INDEPENDENT,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958.0,(325) 484-2478 ext:399 ,(325) 484-3359,jimmy.hannon@wvisd.net,www.wvisd.net,JIMMY HANNON   ,316,'226905202,SAN ANGELO STATE SCHOOL,REGULAR INSTRUCTIONAL,,P O BOX 250,WATER VALLEY,TX,76958-0250,18000 WILDCAT DR,WATER VALLEY,TX,76958.0,(325) 465-4391,(325) 484-2462,jimmy.hannon@wvisd.net,,JIMMY HANNON   ,'08-UG,-1,Active,34515.0,2015-03-14T05:35:00,6,USCGeocoder,16,1,4.01,,10772a90-ce2b-4b70-b6f9-2c4d9207b277,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3089.69818436,LinearInterpolationAddressRange,StreetSegment,98.9940828402,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.6694129064,-100.720881786,Relaxed
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906001,WALL H S,REGULAR INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7521,(325) 651-9419,russell.dacy@wallisd.net,,MR RUSSELL DACY   ,'09-12,331,Active, ,2015-03-14T05:35:00,7,USCGeocoder,47,1,4.01,,aa170bb4-ab13-49ff-8e06-4e4c68e84cee,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.3733094,-100.307182,Exact
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906002,FAIRVIEW ACCELERATED,ALTERNATIVE INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904-9664,(325) 651-7656,(325) 651-8504,,,ALBERT F JOHNSON   ,'07-12,5,Active,33054.0,2015-03-14T05:35:00,8,USCGeocoder,16,1,4.01,,e24ce2ff-d2f0-4b84-8452-f56e2c36a9d9,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11175.2363934,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.3911550378,-100.400369551,Exact
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906005,FAIRVIEW ACCELERATED DAEP,DAEP INSTRUCTIONAL,,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904.0,2405 FAIRVIEW SCHOOL RD,SAN ANGELO,TX,76904.0,(915) 651-7686, ,,,MR ALBERT JOHNSON   ,'06-12,0,Active,34942.0,2015-03-14T05:35:00,9,USCGeocoder,16,1,4.01,,5056d6a5-94c8-4fbd-a8c8-a3ecdafdd0ed,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,11175.2363934,LinearInterpolationAddressRange,StreetSegment,100.0,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.3911550378,-100.400369551,Exact
'226,TOM GREEN COUNTY,'15,'226906,WALL ISD,INDEPENDENT,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7790,(325) 651-5081,walter.holik@wallisd.net,www.wallisd.net,MR WALTER EMIL HOLIK JR   ,1105,'226906041,WALL MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 259,WALL,TX,76957-0259,8065 LOOP 570,WALL,TX,76957-0259,(325) 651-7648,(325) 651-9664,ryan.snowden@wallisd.net,,MR RYAN SNOWDEN   ,'06-08,287,Active,31223.0,2015-03-14T05:35:00,10,USCGeocoder,31,1,4.01,,b13cc043-437b-4be0-b4f7-d70d11468d43,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,,ArealInterpolationGeometricCentroid,USPSZip,100.0,FeatureClassBased,ReturnAll,,Manual,,,0,31.3724375,-100.3074809,Exact
