CountyNumber,CountyName,RegionNumber,DistrictNumber,DistrictName,DistrictType,DistrictStreetAddress,DistrictCity,DistrictState,DistrictZip,DistrictSiteStreetAddress,DistrictSiteCity,DistrictSiteState,DistrictSiteZip,DistrictPhone,DistrictFax,DistrictEmailAddress,DistrictWebPageAddress,DistrictSuperintendent,DistrictEnrollmentasofOct2014,SchoolNumber,SchoolName,InstructionType,CharterType,SchoolStreetAddress,SchoolCity,SchoolState,SchoolZip,SchoolSiteStreetAddress,SchoolSiteCity,SchoolSiteState,SchoolSiteZip,SchoolPhone,SchoolFax,SchoolEmailAddress,SchoolWebPageAddress,SchoolPrincipal,GradeRange,SchoolEnrollmentasofOct2014,SchoolStatus,SchoolStatusDate,UpdateDate,AUTO_UNIQUE_ID_2015-03-23_adschrubbe_output_13_as,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902042,NOTTINGHAM MIDDLE,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535,302 S CLEVELAND,DAYTON,TX,77535,(936) 257-4100,(936) 257-4110,benicia.bendele@daytonisd.net,www.daytonisd.net,MRS BENICIA BENDELE   ,'06,394,Active,2004-08-04,2015-03-14T05:35:00,3,USCGeocoder,31,1,4.01,,ba3a47a4-4b12-4416-9bff-7d90b33afbe8,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5382.421003,LinearInterpolationAddressRange,StreetSegment,97.04142012,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.04188659,-94.88871988,Relaxed
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902101,AUSTIN EL,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535-0248,702 S CLEVELAND ST,DAYTON,TX,77535-2730,(936) 258-2535,(936) 257-4138,nelly.tinkle@daytonisd.net,www.daytonisd.net,MRS NELLY TINKLE   ,'KG-01,806,Active, ,2015-03-14T05:35:00,4,USCGeocoder,16,1,4.01,,6981854d-64e8-41b2-aa81-323e5e9800f3,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3913.89822,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.0386273,-94.88659472,Exact
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902102,COLBERT EL,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535-0248,231 S COLBERT ST,DAYTON,TX,77535-3002,(936) 258-2727,(936) 257-4152,nelly.tinkle@daytonisd.net,www.daytonisd.net,MRS NELLY TINKLE   ,'EE-PK,203,Active, ,2015-03-14T05:35:00,5,USCGeocoder,16,1,4.01,,a2a7d0a7-1268-4096-9ef3-92f428515438,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5753.58606,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.04689914,-94.88091881,Exact
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902103,RICHTER EL,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535-0248,2400 N WINFREE ST,DAYTON,TX,77535-1972,(936) 258-7126,(936) 257-4179,maritza.pruitt@daytonisd.net,www.daytonisd.net,MRS MARITZA PRUITT   ,'02-03,769,Active, ,2015-03-14T05:35:00,6,USCGeocoder,31,1,4.01,,043097f9-11cd-4672-975f-eb1b8dc5c141,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5906.768419,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.06176426,-94.89647525,Exact
'146,LIBERTY COUNTY,'04,'146902,DAYTON ISD,INDEPENDENT,P O BOX 248,DAYTON,TX,77535-0248,100 CHERRY CREEK RD,DAYTON,TX,77535-2639,(936) 258-2667,(936) 258-5616,jessica.johnson@daytonisd.net,www.daytonisd.net/,DR JESSICA JOHNSON   ,5204,'146902105,KIMMIE M BROWN EL,REGULAR INSTRUCTIONAL,,P O BOX 248,DAYTON,TX,77535,151 BROWN RD,DAYTON,TX,77535,(936) 257-2796,(936) 257-4154,brandy.strolberg@daytonisd.net,www.daytonisd.net,MRS BRANDY STROLBERG   ,'04-05,772,Active,2004-08-04,2015-03-14T05:35:00,7,USCGeocoder,47,1,4.01,,cc067db1-ba3f-4a70-b610-4bf65bbb79f8,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,7001.755524,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.03223836,-94.88264034,Exact
'146,LIBERTY COUNTY,'04,'146904,HARDIN ISD,INDEPENDENT,P O BOX 330,HARDIN,TX,77561-0330,209 CR 2003 N,HARDIN,TX,77561-0330,(936) 298-2112,(936) 298-9161,tmarberry@hardinisd.net,www.hardinisd.net,MR BOB PARKER   ,1317,'146904003,HARDIN/CHAMBERS CTR,DAEP INSTRUCTIONAL,,1715 HWY 146 BYPASS,LIBERTY,TX,77575-0609,1715 HWY 146 BYPASS,LIBERTY,TX,77575-0609,(936) 336-1045,(936) 336-7208,,,MR KEN YOUNG   ,'03-12,7,Active,1996-01-25,2015-03-14T05:35:00,12,USCGeocoder,94,1,4.01,,9c7b08e5-1b3e-4bc6-9579-c5deac504a0c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2767.040923,LinearInterpolationAddressRange,StreetSegment,89.05325444,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.05673854,-94.7993357,Relaxed
'146,LIBERTY COUNTY,'05,'146905,HULL-DAISETTA ISD,INDEPENDENT,P O BOX 477,DAISETTA,TX,77533-0477,117 N MAIN HWY 770,DAISETTA,TX,77533-0477,(936) 536-6321 ext:141 ,(936) 536-6251,tsmith@hdisd.net,www.hdisd.net,MRS MARY HUCKABAY   ,491,'146905001,HULL-DAISETTA H S,REGULAR INSTRUCTIONAL,,P O BOX 477,DAISETTA,TX,77533-0477,117 N MAIN HWY 770,DAISETTA,TX,77533-0477,(936) 536-6321 ext:116 ,(936) 536-3839,qgodwin@hdisd.net,www.hdisd.net,MR QUINN GODWIN   ,'09-12,163,Active, ,2015-03-14T05:35:00,16,USCGeocoder,16,1,4.01,,13ec2f2d-7246-4249-abeb-bb9b690c21e7,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1825.209501,LinearInterpolationAddressRange,StreetSegment,92.01183432,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.11730125,-94.64542481,Relaxed
'146,LIBERTY COUNTY,'05,'146905,HULL-DAISETTA ISD,INDEPENDENT,P O BOX 477,DAISETTA,TX,77533-0477,117 N MAIN HWY 770,DAISETTA,TX,77533-0477,(936) 536-6321 ext:141 ,(936) 536-6251,tsmith@hdisd.net,www.hdisd.net,MRS MARY HUCKABAY   ,491,'146905041,HULL-DAISETTA J H,REGULAR INSTRUCTIONAL,,P O BOX 477,DAISETTA,TX,77533-0477,117 N MAIN HWY 770,DAISETTA,TX,77533,(936) 536-6321 ext:116 ,(936) 536-3839,qgodwin@hdisd.net,www.hdisd.net,MR QUINN GODWIN   ,'07-08,-1,Active, ,2015-03-14T05:35:00,18,USCGeocoder,31,1,4.01,,b6a8a9ec-982a-4d80-9e27-5d0ce9ca1cda,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1825.209501,LinearInterpolationAddressRange,StreetSegment,92.01183432,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.11730125,-94.64542481,Relaxed
'146,LIBERTY COUNTY,'04,'146906,LIBERTY ISD,INDEPENDENT,1600 GRAND AVE,LIBERTY,TX,77575-4725,1600 GRAND AVE,LIBERTY,TX,77575-4725,(936) 336-7213 ext:233 ,(888) 519-6836,rpgunter@libertyisd.net,www.libertyisd.net,DR CODY ABSHIER   ,2115,'146906001,LIBERTY H S,REGULAR INSTRUCTIONAL,,2615 JEFFERSON DR,LIBERTY,TX,77575-4312,2615 JEFFERSON DR,LIBERTY,TX,77575-4312,(936) 336-6483 ext:222 ,(936) 336-3931,cdbarrett@libertyisd.net,,DR CHAD BARRETT   ,'09-12,604,Active, ,2015-03-14T05:35:00,20,USCGeocoder,16,1,4.01,,21bf46ca-841f-4ab6-a87b-bc0b24566f88,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3181.457999,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.07348842,-94.78838105,Exact
'146,LIBERTY COUNTY,'04,'146906,LIBERTY ISD,INDEPENDENT,1600 GRAND AVE,LIBERTY,TX,77575-4725,1600 GRAND AVE,LIBERTY,TX,77575-4725,(936) 336-7213 ext:233 ,(888) 519-6836,rpgunter@libertyisd.net,www.libertyisd.net,DR CODY ABSHIER   ,2115,'146906003,HARDIN/CHAMBERS CTR,DAEP INSTRUCTIONAL,,1715 HWY 146 BYPASS,LIBERTY,TX,77575,1715 HWY 146 BYPASS,LIBERTY,TX,77575,(936) 336-1045,(936) 336-7208,jpyoung@libertyisd.net,,MR JAMES YOUNG   ,'01-12,-1,Active,1996-01-25,2015-03-14T05:35:00,21,USCGeocoder,109,1,4.01,,94f110e3-4172-4549-bb8c-91362ba456ab,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2767.040923,LinearInterpolationAddressRange,StreetSegment,97.04142012,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.05673854,-94.7993357,Relaxed
'146,LIBERTY COUNTY,'04,'146906,LIBERTY ISD,INDEPENDENT,1600 GRAND AVE,LIBERTY,TX,77575-4725,1600 GRAND AVE,LIBERTY,TX,77575-4725,(936) 336-7213 ext:233 ,(888) 519-6836,rpgunter@libertyisd.net,www.libertyisd.net,DR CODY ABSHIER   ,2115,'146906041,LIBERTY MIDDLE,REGULAR INSTRUCTIONAL,,2515 JEFFERSON,LIBERTY,TX,77575-4794,2515 JEFFERSON,LIBERTY,TX,77575-4794,(936) 336-3582 ext:4021,(936) 336-1021,rlsmith@libertyisd.net,,MS RHONDA SMITH   ,'06-08,446,Active, ,2015-03-14T05:35:00,22,USCGeocoder,16,1,4.01,,ee10bfb4-63f8-4c63-8624-9475d2b85417,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5029.052653,LinearInterpolationAddressRange,StreetSegment,97.04142012,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.07350164,-94.78948661,Relaxed
'146,LIBERTY COUNTY,'04,'146906,LIBERTY ISD,INDEPENDENT,1600 GRAND AVE,LIBERTY,TX,77575-4725,1600 GRAND AVE,LIBERTY,TX,77575-4725,(936) 336-7213 ext:233 ,(888) 519-6836,rpgunter@libertyisd.net,www.libertyisd.net,DR CODY ABSHIER   ,2115,'146906102,SAN JACINTO EL,REGULAR INSTRUCTIONAL,,1629 GRAND AVE,LIBERTY,TX,77575,1629 GRAND AVE,LIBERTY,TX,77575,(936) 336-3161,(936) 336-5751,taconnelly@libertyisd.net,,MR TOM CONNELLY   ,'EE-01,-1,Active, ,2015-03-14T05:35:00,23,USCGeocoder,94,1,4.01,,0b6ef5bb-0bc4-48d1-87cd-208946a55628,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2935.907171,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.06312376,-94.80126183,Exact
'146,LIBERTY COUNTY,'04,'146906,LIBERTY ISD,INDEPENDENT,1600 GRAND AVE,LIBERTY,TX,77575-4725,1600 GRAND AVE,LIBERTY,TX,77575-4725,(936) 336-7213 ext:233 ,(888) 519-6836,rpgunter@libertyisd.net,www.libertyisd.net,DR CODY ABSHIER   ,2115,'146906103,LIBERTY EL,REGULAR INSTRUCTIONAL,,1202 BOWIE ST,LIBERTY,TX,77575-3594,1202 BOWIE ST,LIBERTY,TX,77575-3594,(936) 336-3603,(936) 336-6077,sccain@libertyisd.net,,MRS STACEY CAIN   ,'02-05,616,Active,1976-12-30,2015-03-14T05:35:00,24,USCGeocoder,16,1,4.01,,31c10ba4-2562-400d-9dc8-80b0d0ff307c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,4876.311785,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,30.06710187,-94.80249334,Exact
'147,LIMESTONE COUNTY,'12,'147902,GROESBECK ISD,INDEPENDENT,P O BOX 559,GROESBECK,TX,76642-0559,1202 N ELLIS,GROESBECK,TX,76642-0559,(254) 729-4100,(254) 729-5167,t.battr@groesbeckisd.net,www.groesbeckisd.net,DR HAROLD D RAMM   ,1829,'147902002,ALTER LEARNING CTR,ALTERNATIVE INSTRUCTIONAL,,P O BOX 559,GROESBECK,TX,76642-0559,701 S ELLIS,GROESBECK,TX,76642,(254) 729-4105,(254) 729-3965,j.westb@groesbeckisd.net,www.groesbeckisd.net,MR DAYNE DUNCAN   MR JOHN WESTBROOK   ,'07-12,-1,Active,1992-07-01,2015-03-14T05:35:00,32,USCGeocoder,16,1,4.01,,0b75c4ed-98b3-4444-a80e-1db52fe46f6e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3255.803811,LinearInterpolationAddressRange,StreetSegment,97.04142012,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.51634114,-96.54021102,Relaxed
'147,LIMESTONE COUNTY,'12,'147903,MEXIA ISD,INDEPENDENT,P O BOX 2000,MEXIA,TX,76667,616 N RED RIVER ST,MEXIA,TX,76667,(254) 562-4000,(254) 562-5508,sross@mexiaisd.net,www.mexia.k12.tx.us/,DR SHARON ROSS   ,1973,'147903002,MEXIA H S,REGULAR INSTRUCTIONAL,,P O BOX 2000,MEXIA,TX,76667-2000,1120 N ROSS,MEXIA,TX,76667-2299,(254) 562-4000, ,,,LARRY ADAIR   ,'09-12,510,Active, ,2015-03-14T05:35:00,37,USCGeocoder,31,1,4.01,,27356a11-e695-4f0a-9dd2-d090f29296ce,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2298.044518,LinearInterpolationAddressRange,StreetSegment,97.04142012,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.68735991,-96.47414815,Relaxed
'147,LIMESTONE COUNTY,'12,'147903,MEXIA ISD,INDEPENDENT,P O BOX 2000,MEXIA,TX,76667,616 N RED RIVER ST,MEXIA,TX,76667,(254) 562-4000,(254) 562-5508,sross@mexiaisd.net,www.mexia.k12.tx.us/,DR SHARON ROSS   ,1973,'147903101,DEVELOPMENTAL CTR,ALTERNATIVE INSTRUCTIONAL,,P O BOX 2000,MEXIA,TX,76667-2000,804 E GRAYSON,MEXIA,TX,76667-2490,(254) 562-4000, ,dsavage@mexiaisd.net,,JOHN SCHAFER   ,'06-12,42,Active,1994-07-01,2015-03-14T05:35:00,39,USCGeocoder,16,1,4.01,,ec324741-1137-4fff-a8a1-4f838603d8a6,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,5314.91064,LinearInterpolationAddressRange,StreetSegment,97.04142012,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,31.68788921,-96.47683834,Relaxed
